
iso	fun	dos	rep	d1	d2
1	boscalid	0	1	2490	2638
1	boscalid	0	2	2258	2431
1	boscalid	0.01	1	3055	3077
1	boscalid	0.01	2	2225	2188
1	boscalid	0.05	1	2340	2453
1	boscalid	0.1	1	2157	1780
1	boscalid	0.1	2	1983	1824
1	boscalid	0.5	1	1896	1710
1	boscalid	1	1	1775	1807
1	boscalid	1	2	1965	1904
1	boscalid	10	1	1273	1481
1	boscalid	50	1	1465	1348
1	boscalid	50	2	1325	1432
1	boscalid	100	1	1258	1482
1	fluopyram	0	1	2490	2638
1	fluopyram	0	2	2258	2431
1	fluopyram	0.01	1	2259	1870
1	fluopyram	0.01	2	1967	1833
1	fluopyram	0.05	1	2628	2740
1	fluopyram	0.1	1	2056	1915
1	fluopyram	0.1	2	2095	2254
1	fluopyram	0.5	1	1830	2162
1	fluopyram	1	1	1872	1681
1	fluopyram	1	2	2161	2023
1	fluopyram	10	1	1061	1363
1	fluopyram	50	1	500	500
1	fluopyram	50	2	500	500
1	fluopyram	100	1	500	500
1	fluxapyroxad	0	1	2490	2638
1	fluxapyroxad	0	2	2258	2431
1	fluxapyroxad	0.01	1	2269	2671
1	fluxapyroxad	0.01	2	2143	2309
1	fluxapyroxad	0.05	1	2479	2408
1	fluxapyroxad	0.1	1	2053	1769
1	fluxapyroxad	0.1	2	2099	2067
1	fluxapyroxad	0.5	1	2275	1921
1	fluxapyroxad	1	1	2220	1993
1	fluxapyroxad	1	2	1808	1620
1	fluxapyroxad	10	1	1983	1600
1	fluxapyroxad	50	1	1699	1909
1	fluxapyroxad	50	2	1586	1691
1	fluxapyroxad	100	1	1285	1286
1	penthiopyrad	0	1	2490	2638
1	penthiopyrad	0	2	2258	2431
1	penthiopyrad	0.01	1	2576	2700
1	penthiopyrad	0.01	2	2489	2355
1	penthiopyrad	0.05	1	1794	1945
1	penthiopyrad	0.1	1	1574	1625
1	penthiopyrad	0.1	2	1913	1969
1	penthiopyrad	0.5	1	1675	1620
1	penthiopyrad	1	1	2022	1979
1	penthiopyrad	1	2	1947	1664
1	penthiopyrad	10	1	1348	1411
1	penthiopyrad	50	1	1272	1256
1	penthiopyrad	50	2	1376	1233
1	penthiopyrad	100	1	1167	1255
2	boscalid	0	1	1870	2159
2	boscalid	0	2	2184	2167
2	boscalid	0.01	1	1825	1688
2	boscalid	0.01	2	1827	2065
2	boscalid	0.05	1	2048	1955
2	boscalid	0.1	1	1499	1795
2	boscalid	0.1	2	1419	1504
2	boscalid	0.5	1	1692	1674
2	boscalid	1	1	1699	1720
2	boscalid	1	2	1510	1620
2	boscalid	10	1	1692	1647
2	boscalid	50	1	1330	1671
2	boscalid	50	2	1340	1475
2	boscalid	100	1	1239	1413
2	fluopyram	0	1	1870	2159
2	fluopyram	0	2	2184	2167
2	fluopyram	0.01	1	1748	1680
2	fluopyram	0.01	2	1447	1604
2	fluopyram	0.05	1	1657	1631
2	fluopyram	0.1	1	1540	1527
2	fluopyram	0.1	2	1525	1441
2	fluopyram	0.5	1	1540	1572
2	fluopyram	1	1	1378	1426
2	fluopyram	1	2	1352	1315
2	fluopyram	10	1	1373	1373
2	fluopyram	50	1	500	500
2	fluopyram	50	2	500	500
2	fluopyram	100	1	500	500
2	fluxapyroxad	0	1	1870	2159
2	fluxapyroxad	0	2	2184	2167
2	fluxapyroxad	0.01	1	2276	2488
2	fluxapyroxad	0.01	2	2111	1849
2	fluxapyroxad	0.05	1	1691	1862
2	fluxapyroxad	0.1	1	1667	1804
2	fluxapyroxad	0.1	2	1837	1856
2	fluxapyroxad	0.5	1	1732	1711
2	fluxapyroxad	1	1	1719	1855
2	fluxapyroxad	1	2	1848	1864
2	fluxapyroxad	10	1	1708	1652
2	fluxapyroxad	50	1	1790	1753
2	fluxapyroxad	50	2	1668	1546
2	fluxapyroxad	100	1	1398	1530
2	penthiopyrad	0	1	1870	2159
2	penthiopyrad	0	2	2184	2167
2	penthiopyrad	0.01	1	1906	2078
2	penthiopyrad	0.01	2	1947	2177
2	penthiopyrad	0.05	1	2026	1690
2	penthiopyrad	0.1	1	1329	1755
2	penthiopyrad	0.1	2	1442	1551
2	penthiopyrad	0.5	1	1453	1484
2	penthiopyrad	1	1	1534	1693
2	penthiopyrad	1	2	1726	1580
2	penthiopyrad	10	1	1267	1609
2	penthiopyrad	50	1	1412	1124
2	penthiopyrad	50	2	1187	1246
2	penthiopyrad	100	1	1221	1251
3	boscalid	0	1	2287	2315
3	boscalid	0	2	2561	2344
3	boscalid	0.01	1	2414	2259
3	boscalid	0.01	2	2324	2442
3	boscalid	0.05	1	2296	2222
3	boscalid	0.1	1	NA	NA
3	boscalid	0.1	2	NA	NA
3	boscalid	0.5	1	1705	1707
3	boscalid	1	1	1437	1320
3	boscalid	1	2	1315	1325
3	boscalid	10	1	500	500
3	boscalid	50	1	500	500
3	boscalid	50	2	500	500
3	boscalid	100	1	500	500
3	fluopyram	0	1	2287	2315
3	fluopyram	0	2	2561	2344
3	fluopyram	0.01	1	2052	1808
3	fluopyram	0.01	2	1656	1593
3	fluopyram	0.05	1	1487	1524
3	fluopyram	0.1	1	1691	1710
3	fluopyram	0.1	2	1798	1694
3	fluopyram	0.5	1	1471	1434
3	fluopyram	1	1	1283	1302
3	fluopyram	1	2	1091	1114
3	fluopyram	10	1	500	500
3	fluopyram	50	1	500	500
3	fluopyram	50	2	500	500
3	fluopyram	100	1	500	500
3	fluxapyroxad	0	1	2287	2315
3	fluxapyroxad	0	2	2561	2344
3	fluxapyroxad	0.01	1	2344	2543
3	fluxapyroxad	0.01	2	2131	2005
3	fluxapyroxad	0.05	1	2147	1923
3	fluxapyroxad	0.1	1	2104	1905
3	fluxapyroxad	0.1	2	1482	1394
3	fluxapyroxad	0.5	1	1473	1585
3	fluxapyroxad	1	1	1606	1589
3	fluxapyroxad	1	2	1772	1893
3	fluxapyroxad	10	1	1187	1178
3	fluxapyroxad	50	1	500	500
3	fluxapyroxad	50	2	500	500
3	fluxapyroxad	100	1	500	500
3	penthiopyrad	0	1	2287	2315
3	penthiopyrad	0	2	2561	2344
3	penthiopyrad	0.01	1	1751	1751
3	penthiopyrad	0.01	2	1909	2052
3	penthiopyrad	0.05	1	1857	1851
3	penthiopyrad	0.1	1	1752	1614
3	penthiopyrad	0.1	2	1847	1825
3	penthiopyrad	0.5	1	1707	1688
3	penthiopyrad	1	1	1515	1565
3	penthiopyrad	1	2	1439	1488
3	penthiopyrad	10	1	500	500
3	penthiopyrad	50	1	500	500
3	penthiopyrad	50	2	500	500
3	penthiopyrad	100	1	500	500
4	boscalid	0	1	2128	2154
4	boscalid	0	2	2438	1961
4	boscalid	0.01	1	1846	2212
4	boscalid	0.01	2	1805	1802
4	boscalid	0.05	1	1413	1519
4	boscalid	0.1	1	1148	1155
4	boscalid	0.1	2	1142	1239
4	boscalid	0.5	1	1352	1335
4	boscalid	1	1	1111	1102
4	boscalid	1	2	796	856
4	boscalid	10	1	676	713
4	boscalid	50	1	500	500
4	boscalid	50	2	500	500
4	boscalid	100	1	500	500
4	fluopyram	0	1	2128	2154
4	fluopyram	0	2	2438	1961
4	fluopyram	0.01	1	1545	1595
4	fluopyram	0.01	2	1959	1929
4	fluopyram	0.05	1	1979	1949
4	fluopyram	0.1	1	1841	1820
4	fluopyram	0.1	2	1777	1742
4	fluopyram	0.5	1	1703	1688
4	fluopyram	1	1	1545	1545
4	fluopyram	1	2	1512	1512
4	fluopyram	10	1	1444	1479
4	fluopyram	50	1	500	500
4	fluopyram	50	2	500	500
4	fluopyram	100	1	500	500
4	fluxapyroxad	0	1	2128	2154
4	fluxapyroxad	0	2	2438	1961
4	fluxapyroxad	0.01	1	2077	1510
4	fluxapyroxad	0.01	2	1897	1950
4	fluxapyroxad	0.05	1	1864	1869
4	fluxapyroxad	0.1	1	1744	1909
4	fluxapyroxad	0.1	2	1795	1790
4	fluxapyroxad	0.5	1	1760	1780
4	fluxapyroxad	1	1	1648	1624
4	fluxapyroxad	1	2	1644	1591
4	fluxapyroxad	10	1	1420	1569
4	fluxapyroxad	50	1	1429	1428
4	fluxapyroxad	50	2	1329	1385
4	fluxapyroxad	100	1	1275	1278
4	penthiopyrad	0	1	2128	2154
4	penthiopyrad	0	2	2438	1961
4	penthiopyrad	0.01	1	1871	1999
4	penthiopyrad	0.01	2	1660	1616
4	penthiopyrad	0.05	1	1910	1845
4	penthiopyrad	0.1	1	1685	1648
4	penthiopyrad	0.1	2	1810	1770
4	penthiopyrad	0.5	1	1672	1592
4	penthiopyrad	1	1	1526	1444
4	penthiopyrad	1	2	1550	1522
4	penthiopyrad	10	1	1231	1170
4	penthiopyrad	50	1	1259	1147
4	penthiopyrad	50	2	1117	1111
4	penthiopyrad	100	1	932	965
5	boscalid	0	1	1772	1771
5	boscalid	0	2	2636	2479
5	boscalid	0.01	1	2416	2432
5	boscalid	0.01	2	2150	2068
5	boscalid	0.05	1	1971	1975
5	boscalid	0.1	1	1274	1276
5	boscalid	0.1	2	1352	1354
5	boscalid	0.5	1	1280	1277
5	boscalid	1	1	500	500
5	boscalid	1	2	500	500
5	boscalid	10	1	500	500
5	boscalid	50	1	500	500
5	boscalid	50	2	500	500
5	boscalid	100	1	500	500
5	fluopyram	0	1	1772	1771
5	fluopyram	0	2	2636	2479
